도로조건,환경조건,경사도(%),차량속도(km/h),차량중량(kg),마찰계수(μ)
눈길,-,1,110,2200,0.246
빙판길,-,3,70,1400,0.14
공항 활주로,고무 퇴적,1,50,1100,0.307
공항 활주로,고무 제거,5,110,1200,0.649
고속도로,건조,1,100,1900,0.905
고속도로,습윤,1,50,1100,0.749
도시 도로,건조,1,30,1300,0.78
도시 도로,습윤,7,110,1900,0.613
시골 도로,건조,3,20,1800,0.76
시골 도로,습윤,3,50,1600,0.535
산악 도로,건조,1,60,1900,0.659
산악 도로,습윤,3,110,1100,0.535
터널 내부,건조,5,50,2000,0.784
터널 내부,습윤,1,70,2500,0.629
아스팔트,건조,0,40,2100,0.86
아스팔트,습윤,3,110,1300,0.573
콘크리트,건조,7,70,1600,0.818
콘크리트,습윤,5,20,1500,0.731
자갈길,건조,3,80,1500,0.643
흙길,건조,1,20,2000,0.642
흙길,습윤,0,60,1700,0.47
눈길,-,1,20,1700,0.282
빙판길,-,7,100,2400,0.138
공항 활주로,고무 퇴적,1,70,2300,0.377
공항 활주로,고무 제거,1,90,2400,0.647
고속도로,건조,7,120,1900,0.907
고속도로,습윤,0,100,2200,0.66
도시 도로,건조,7,60,1200,0.814
도시 도로,습윤,1,110,1300,0.647
시골 도로,건조,3,40,2100,0.715
시골 도로,습윤,7,120,1600,0.569
산악 도로,건조,1,80,1700,0.674
산악 도로,습윤,0,90,1600,0.473
터널 내부,건조,1,20,2100,0.745
터널 내부,습윤,7,120,2200,0.593
아스팔트,건조,1,20,1700,0.861
아스팔트,습윤,1,40,2200,0.627
콘크리트,건조,1,70,2500,0.896
콘크리트,습윤,0,40,2400,0.755
자갈길,건조,1,40,1100,0.647
흙길,건조,3,60,1200,0.605
흙길,습윤,5,100,1100,0.471
눈길,-,0,50,2300,0.236
빙판길,-,5,80,2400,0.111
공항 활주로,고무 퇴적,1,20,2100,0.357
공항 활주로,고무 제거,0,30,2000,0.606
고속도로,건조,0,110,1300,0.893
고속도로,습윤,0,20,1300,0.615
도시 도로,건조,5,70,1500,0.76
도시 도로,습윤,5,40,1900,0.607
시골 도로,건조,3,90,1200,0.741
시골 도로,습윤,5,80,1400,0.537
산악 도로,건조,1,100,1800,0.652
산악 도로,습윤,3,20,2400,0.592
